API_Name,Provider,Host,Status,Free_Tier,Free_Limit,Pro_Price,Pro_Limit,Ultra_Price,Ultra_Limit,Mega_Price,Mega_Limit,Has_Profile,Has_Search,Has_Following,Has_Followers,Has_Posts,Has_Stories,Has_Reels,Endpoint_Count,Rating,Popularity,Description,Best_For,Notes
"rocketapi-for-instagram","rocketapi","rocketapi-for-instagram.p.rapidapi.com","ACTIVE (migrating)","Yes","100 calls total","~49 EUR/mo","50K req/mo","~99 EUR/mo","100K req/mo","~299 EUR/mo","500K req/mo","Yes (15 user endpoints)","Yes (web_search)","Yes (get_following)","Yes (get_followers)","Yes (9 media endpoints)","Yes","Yes","38+","Professional","Moderate-High","Most comprehensive: 38+ endpoints across 9 categories. Own docs site.","Enterprise / most endpoints","MIGRATING off RapidAPI to v1.rocketapi.io. Most expensive."
"instagram-scraper","junioroangel","instagram-scraper.p.rapidapi.com","ACTIVE","Yes","Generous","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes (Info/contacts)","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","8+","Well-established","Popular - in tutorials","Users, medias, tags, comments, locations. Residential proxies.","Tutorial-friendly","GitHub: github.com/angeljunior/instagram-scraper"
"instagram-scraper-v21","metekuscu","instagram-scraper-v21.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Moderate","V2 scraper with improved endpoints.","Unknown","Limited info available"
"Instagram Scraper 2025","DavidGelling","instagram-scraper-20251.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","100% success claimed","Growing","Fast live API with backend redundancy for 100% success.","Latest version","Claims 100% successful responses"
"instagram-bulk-profile-scrapper","thekirtan","instagram-bulk-profile-scrapper.p.rapidapi.com","ACTIVE","Yes","Unknown","Custom","Custom","Custom","Custom","Custom","Custom","Yes (bulk)","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Moderate","Bulk scrape up to 200K profiles/day. Profiles/posts/stories/highlights/reels.","Bulk operations","Custom pricing. Not for individual lookups."
"instagram120","3205","instagram120.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Yes (reels/photos/videos)","Unknown","Yes","Unknown","Unknown","Moderate","Fetch reels, photos, videos from public posts.","Media fetching","YOUR OLD API. Limited endpoints - mainly media download."
"instagram-statistics-api","artemlipko","instagram-statistics-api.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes (stats)","Unknown","Unknown","Yes (count)","Yes","Unknown","Unknown","Unknown","Unknown","Moderate","Account statistics, engagement rates, follower analytics, post performance.","Analytics only","Not for discovery - analytics focused"
"instagram-api39","diyorbekkanal","instagram-api39.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Yes","Yes","Yes","Unknown","Unknown","100% uptime claimed","Growing","Low price, 100% uptime, 300 req/sec capacity.","High throughput","300 req/sec capacity"
"Instagram Scraper 2024","eaidoo015","instagram-scraper-20243.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","99.999% uptime","Moderate","High uptime guarantee.","Reliability","99.999% uptime claimed"
"instagram-social","sparior","instagram-social.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Moderate","Social data API.","Social data","Limited info"
"instagram-api-cheap-and-fast","omarcosramiro","instagram-api-cheap-and-fast.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","99.99% uptime","High throughput","Handles 2M daily requests, minimal failures, 99.99% uptime.","High volume budget","2M daily req capacity"
"instagram-fast","omarcosramiro","instagram-fast.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Moderate","Speed-optimized.","Speed","Same provider as cheap-and-fast"
"Cheapest Instagram API","azbare","cheapest-instagram-api.p.rapidapi.com","ACTIVE","Yes","Unknown","Budget","Unknown","Budget","Unknown","Budget","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Budget","Real-time: user info, stories, posts, highlights.","Budget","Focus on affordability"
"instagram-cheapest","liucccccccccccc","instagram-cheapest.p.rapidapi.com","ACTIVE","Yes","Unknown","Budget","Unknown","Budget","Unknown","Budget","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Budget","Budget option.","Cheapest","Low-cost alternative"
"ensembledata","EnsembleData","ensembledata.p.rapidapi.com","ACTIVE","Yes","50 units/day","$100/mo (Wood)","1500 units/day","$200/mo (Bronze)","5000 units/day","$800/mo (Gold)","25000 units/day","Yes","Yes (hashtag/keyword)","Unknown","Yes","Yes","Unknown","Yes","15+","Professional","Professional","Professional-grade. Posts, followers, hashtags, comments, music. Unit-based pricing.","Enterprise analytics","Expensive. 1 unit per basic call, 10 units per detailed."
"scrapecreators","ScrapeCreators","api.scrapecreators.com (NOT RapidAPI)","ACTIVE (standalone)","Yes","100 free calls","Credit-based","Per-request","Credit-based","Per-request","Credit-based","Per-request","Yes","Yes (reels search)","No","No","Yes","Yes (highlights)","Yes","12","Unknown","Unknown","Standalone API (not on RapidAPI). Credit-based pricing.","Profile + posts + reels","NO followers/following endpoints. NOT on RapidAPI."
"instagram-story-downloader","maatootz","instagram-story-downloader-media-downloader.p.rapidapi.com","ACTIVE","Yes","40 req/mo","$5.99/mo","5K req/day","$12.99/mo","20K req/day","$499/mo","10M req/mo","No","No","No","No","Yes (download)","Yes (download)","Yes (download)","5","Unknown","Moderate","Download stories/reels/IGTV/photos. Smart auto-detect.","Download only","NO data scraping. Download-focused only."
"instagram-api-media-downloader","instagramdp","instagram-api-media-downloader.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","Yes (download)","Yes (download)","Unknown","Unknown","Unknown","Moderate","Cheapest HD profile pics, videos, photos, stories download.","Download only","NO data scraping. Download-focused only."
"social-media-video-downloader","emmanueldavidyou","social-media-video-downloader.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","Yes (download)","No","No","Unknown","Unknown","Moderate","Multi-platform video download: YouTube, IG, FB, TikTok.","Video download only","NO Instagram data scraping."
"instagram-post-reels-stories-downloader","diyorbekkanal","instagram-post-reels-stories-downloader.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","Yes (download)","Yes (download)","Yes (download)","Unknown","100% uptime / 300 req/sec","Moderate","Download posts/reels/stories/IGTV/highlights/carousels/profile pics.","Download only","NO data scraping. 300 req/sec."
"instagram-hashtags","ajithjojo1230","instagram-hashtags.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Yes (hashtag only)","No","No","Yes (by hashtag)","No","No","Unknown","Unknown","Moderate","AI hashtag generation and search.","Hashtag tools only","NO profile/follower endpoints."
"Instagram Analytics","minter_io","instagram-analytics.p.rapidapi.com","ACTIVE","Yes","Free","N/A","N/A","N/A","N/A","N/A","N/A","Yes (analytics)","No","No","No","Yes (performance)","No","No","Unknown","Unknown","Listed in collection","Business insights: follower demographics, engagement, post performance.","Analytics only","Not for discovery."
"Instagram Data","logicbuilder","instagram-data1.p.rapidapi.com","ACTIVE","Yes","Free","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","15+","Unknown","Listed in collection","Public Instagram data access. Real-time, no caching.","Full data access","Same as instagram-data1 above"
"Instagram Stories","Prasadbro","instagram-stories1.p.rapidapi.com","ACTIVE","Yes","Free","N/A","N/A","N/A","N/A","N/A","N/A","No","No","No","No","No","Yes","No","Unknown","Unknown","Listed in collection","View and manage Instagram Stories data.","Stories only","Stories-focused only"
"instagram47","Prasadbro","instagram47.p.rapidapi.com","LIKELY REMOVED","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9","Unknown","Was popular","Had search, following, followers, posts. NOW RETURNS NOT_FOUND.","Was good - now dead","REMOVED from RapidAPI"
"TwineSocial","aaronfessler","twinesocial.p.rapidapi.com","ACTIVE","Yes","Free","N/A","N/A","N/A","N/A","N/A","N/A","No","No","No","No","Yes (aggregation)","No","No","Unknown","Unknown","Niche","Aggregate/curate/display UGC from social media including IG.","Content aggregation","Multi-platform. Not for scraping."
"Hashtagy","miguel.aka.kelter","hashtagy-generate-hashtags.p.rapidapi.com","ACTIVE","Yes","Free","N/A","N/A","N/A","N/A","N/A","N/A","No","No","No","No","No","No","No","Unknown","Unknown","Niche","Generate trending hashtags for IG posts.","Hashtag generation","Not for scraping."
"Ultimate Scraper 2024","eaidoo005","ultimate-scraper-20241.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","Yes (download)","Yes (download)","Yes (download)","Unknown","Unknown","Moderate","Multi-platform: IG Reels/Stories/IGTV + FB/X/TikTok/YouTube.","Multi-platform download","Download-focused. Not for data scraping."
